,htid,mean_delta,median_delta,improved,worse,same,total
36,coo1.ark:/13960/t0tq6fz6k,-0.006465107425342596,-0.0158446285,136,70,0,206
92,hvd.hn1gr9,-0.006079301425567012,-0.010381334726810198,127,93,2,222
248,uc2.ark:/13960/t0ms3km0j,-0.0057962878305524435,-0.012400550738255092,167,110,0,277
247,uc2.ark:/13960/t06w9hx86,-0.005739918719898856,-0.01840866734677815,780,320,4,1104
207,osu.32435009322033,-0.005648318579607651,-0.024048193000000002,292,87,1,380
246,uc2.ark:/13960/t05x28p0p,-0.005558716423306417,-0.0142393836256039,114,62,0,176
286,ucw.ark:/13960/t4jm3599n,-0.0055446815948503505,-0.003920229692883949,90,82,0,172
136,inu.32000013013430,-0.005498910613996493,-0.0096441619396607,78,51,1,130
252,uc2.ark:/13960/t1hh6d50c,-0.005000881422313527,-0.029411765,355,121,1,477
118,hvd.hwjzbq,-0.0048562532483281936,-0.005429930757469349,54,42,0,96
163,mdp.39015073486428,-0.004669035191373539,-0.020408163,852,406,2,1260
184,nyp.33433074857206,-0.0038421080836187472,-0.022222222,285,98,0,383
197,nyp.33433084130115,-0.0037984682289276678,-1.0204090003518296e-10,36,35,0,71
222,uc1.$b682853,-0.0029034505821068806,-0.015384615230769297,617,263,3,883
151,mdp.39015050791733,-0.0027575358562845283,-0.008384043252873601,108,78,1,187
57,dul1.ark:/13960/t4th9rm8z,-0.0023685887747726944,-0.016997304,376,170,0,546
172,njp.32101067629624,-0.0023399239053740503,0.009033717734252638,67,109,0,176
89,hvd.32044105600381,-0.002242917478647804,-0.005347593582887666,61,46,0,107
273,uc2.ark:/13960/t7dr2vk0r,-0.0019430461786914112,-0.017241379,512,231,0,743
180,njp.32101079670632,-0.0019280695740671783,-0.0161841739529915,195,82,1,278
308,uiug.30112069191309,-0.0018267743703215085,-0.01485459821064065,378,139,3,520
230,uc1.31822038203915,-0.0017039160263811585,-0.007739837398374,508,386,3,897
341,wu.89098861651,-0.0016286638463585124,-0.02244876971052635,126,63,1,190
261,uc2.ark:/13960/t3dz07x8v,-0.0012802806595887323,-0.019230769,398,154,0,552
316,umn.31951002059385c,-0.00112032950403476,0.0006322418775130002,145,284,1,430
30,chi.49773380,-0.0010850279036319448,-0.0031446538553459996,78,68,1,147
141,mdp.39015004721281,-0.0010652757436382643,-0.00042810730034130093,83,59,1,143
297,uiug.30112003419840,-0.000788893043159199,-0.0142801251111112,226,152,1,379
38,coo1.ark:/13960/t2d79wk27,-0.0002241704462155815,-0.0070835411429317,90,70,0,160
225,uc1.31158012744974,-0.00021591707660413462,-0.0045710534720813,321,269,1,591
148,mdp.39015032548532,-5.873925230917486e-05,-0.003448025885017499,31,24,0,55
254,uc2.ark:/13960/t2n58f05s,-1.850197841354759e-05,-0.019929574656804797,177,91,1,269
