,htid,mean_delta,median_delta,improved,worse,same,total
236,uc1.b000973056,0.019420169802712252,-0.0060170810000000005,130,105,0,235
129,iau.31858050004567,0.01944913867408172,0.005052213479262588,126,220,3,349
133,inu.30000105230852,0.019727716624698743,0.0053475934117646964,18,29,0,47
302,uiug.30112041772465,0.01977880164728445,-0.007478632923076996,149,113,1,263
135,inu.32000009367931,0.020198917663823257,0.002397522602797599,51,81,0,132
116,hvd.hwirlj,0.02042021061912947,-0.010872557190476195,271,164,0,435
212,pst.000065109250,0.020527486182543853,0.0024606682424242014,132,311,1,444
312,uiuo.ark:/13960/t0kt1d072,0.0209590232676382,0.0103092787010309,38,49,0,87
157,mdp.39015063939295,0.021469804900054137,-0.007352611113831048,176,139,1,316
311,uiug.30112088988545,0.021884151809704,-0.011363636,260,188,1,449
238,uc1.b3331981,0.02210556440855944,-0.009271067495836047,443,333,0,776
329,uva.x000391215,0.022685001094618778,-0.0070309412777778,239,179,0,418
114,hvd.hwhs2h,0.022705183146235645,-0.014084507,833,470,2,1305
318,umn.31951002088056i,0.02275904294115705,0.0019230770000000022,144,395,0,539
40,coo1.ark:/13960/t2q535m4s,0.022760471232492627,-0.009406801205040151,76,46,0,122
193,nyp.33433076066020,0.023589871001434854,0.0132682626962025,67,135,1,203
102,hvd.hn5zkz,0.02386043959248293,0.0007621950000000002,308,361,0,669
81,hvd.32044086819455,0.025528476382624638,-0.0034084811176471014,208,193,1,402
333,uva.x030446831,0.025719957301815786,0.00037707413725489997,61,76,2,139
93,hvd.hn1hw9,0.025779190423872826,0.000409628485650548,355,401,2,758
307,uiug.30112049756742,0.025805930760017054,0.0016329864927536047,153,283,1,437
113,hvd.hwhs2f,0.026153438133352244,-0.013513514,521,312,1,834
320,umn.319510021857704,0.026329248545018367,0.0015411005943395985,566,1272,4,1842
146,mdp.39015022736519,0.02673622410254013,-0.005847953134503002,247,204,2,453
32,coo.31924013345941,0.026969969433340985,0.0007602160108180992,333,596,1,930
338,wu.89062225495,0.027034455768336973,0.0008502598016059959,80,97,0,177
259,uc2.ark:/13960/t3513vb6c,0.027266190417675126,-0.01017871,93,71,0,164
202,nyp.33433112050640,0.02737523082337116,0.0007225569609849956,150,242,0,392
33,coo.31924013521475,0.02751046595833219,0.010523361233389646,98,338,0,436
234,uc1.aa0014828586,0.027922018353917843,0.0006178661450741973,183,225,4,412
323,umn.319510023980414,0.028065577593468234,0.005247524999999999,83,275,3,361
336,wu.89006965677,0.02856506192649531,0.0022137567323566518,240,424,6,670
295,uiug.30112002696547,0.028838638902161488,-0.004714523331543102,413,335,0,748
298,uiug.30112005622532,0.029073146792961194,2.702700216405951e-11,360,362,1,723
240,uc1.b4104165,0.029272722112439132,-0.0077652578247423,192,141,0,333
326,umn.31951p00927675m,0.029346242352625628,0.00040272027027019736,418,638,7,1063
104,hvd.hn6gly,0.030313576772097953,2.307691988889804e-10,588,639,6,1233
199,nyp.33433111627950,0.030786871765793426,0.00449800163719595,149,254,1,404
108,hvd.hnp6ka,0.03087581433756456,0.00031470539610384957,111,134,1,246
67,hvd.32044011872520,0.03100046769508138,0.00462674279922775,357,774,13,1144
195,nyp.33433081852638,0.031785281480572886,-0.0005127032985074997,213,182,2,397
208,osu.32435023556897,0.03197651840238519,0.006245288839660298,149,274,1,424
343,wu.89099223224,0.03205092828178359,0.010853404596491194,126,357,0,483
100,hvd.hn5faq,0.0320586424368178,0.0002689798723403986,50,52,0,102
237,uc1.b3325299,0.03252025592909651,0.00046576613274330186,492,562,3,1057
213,pst.000065110454,0.03263927690093828,0.0088767093496448,122,250,0,372
198,nyp.33433111627307,0.03312510083312645,0.0022246936206895968,44,106,1,151
229,uc1.31175035188799,0.033448816895967855,0.018321570472750303,276,1028,0,1304
233,uc1.aa0003663945,0.03359140002490287,-0.011627907,545,413,3,961
328,uva.x000235926,0.03393079474505984,0.012394623904782447,26,62,0,88
241,uc1.b4698759,0.03436404767035839,0.004633204714285702,337,486,2,825
152,mdp.39015058682520,0.03439905872043007,0.0005251273649635041,327,349,1,677
31,coo.31924013205285,0.03483059157159437,0.0024105461962025017,305,664,3,972
201,nyp.33433112048933,0.03577825924567988,0.0010752683333332957,89,223,1,313
132,inu.30000007120979,0.03606908764517539,-0.003861003416988501,146,129,0,275
96,hvd.hn24pz,0.03630920309039327,-0.012987013,61,42,0,103
324,umn.31951002398326o,0.037399668445067494,0.004830917874396198,94,223,0,317
69,hvd.32044012709564,0.037638867789922,0.0004629629999999968,82,96,1,179
303,uiug.30112042036415,0.03783717574229086,0.0113320996521739,359,979,1,1339
126,hvd.rslxpu,0.03784956361348951,-0.0024748250730550533,47,40,3,90
142,mdp.39015005368504,0.03839598827702127,3.6363629989100144e-10,45,54,0,99
306,uiug.30112045856348,0.038657064760382435,0.003109452402985005,98,204,1,303
83,hvd.32044086829629,0.038877637436826644,0.004022638238805901,389,692,8,1089
301,uiug.30112041716611,0.04104110106735239,0.011964485567715597,114,358,2,474
71,hvd.32044019571470,0.04106453155258447,0.0001913981264441006,76,80,0,156
332,uva.x000983213,0.04174182548320852,-0.0074264230943666505,606,482,0,1088
300,uiug.30112040128420,0.043390375301621986,-0.0033539623471229504,135,115,0,250
149,mdp.39015047472553,0.04501950438256103,-0.009568933251207801,495,320,0,815
164,mdp.39015088372761,0.04555472027561156,0.0008693136206896004,608,784,3,1395
188,nyp.33433074936885,0.046172388176333665,0.0005949720246913003,99,116,0,215
99,hvd.hn3m2y,0.046501147160296775,0.015625,58,169,0,227
154,mdp.39015059404023,0.047683028094799046,0.00848410355276015,124,254,0,378
173,njp.32101068155330,0.048039416693962673,0.00036623324409440147,42,47,0,89
277,uc2.ark:/13960/t85h7dn8q,0.05005755097404239,-0.0075264884782608975,84,61,0,145
185,nyp.33433074864038,0.0508605316843784,0.0009881427272727013,210,316,3,529
226,uc1.31175002447244,0.05230426996838453,0.00028952688554215004,628,698,2,1328
101,hvd.hn5yg2,0.055719372942334415,-0.00011761047302294957,155,151,0,306
204,osu.32435000069989,0.05605921074802955,0.012417394554514304,113,315,2,430
235,uc1.b0000339614,0.05880332382114221,0.0042094859722814,58,66,1,125
315,umn.31951002050418w,0.05971898909128804,0.009602011524793355,141,559,0,700
224,uc1.31158001622033,0.061681910670854975,0.011556240454545404,157,762,2,921
77,hvd.32044038425880,0.0673169079058111,0.0005058165878552498,459,504,1,964
327,umn.31951p00999130c,0.07035109282790815,0.009591170571923907,252,483,5,740
299,uiug.30112039408999,0.0762216843007087,0.006227296804878005,211,286,0,497
335,uva.x030832825,0.08395845421071774,0.0060688999631901,233,365,1,599
321,umn.31951002301766d,0.08487901448066276,0.016066000868432503,168,566,7,741
82,hvd.32044086820495,0.09462627074490865,0.0027720030540539994,583,806,0,1389
317,umn.31951002083863e,0.12571640924082697,0.017639727734637123,154,365,4,523
232,uc1.a0001201813,0.1280578841213666,0.0170110193333333,255,663,3,921
34,coo.31924022004430,0.1380159209788618,0.02777777777777779,177,890,6,1073
242,uc1.b4713794,0.1665741833270934,0.0137902402662116,139,289,1,429
227,uc1.31175016743323,0.18694720763955003,0.008694685736842098,261,478,1,740
209,osu.32435075053272,0.1975548281698615,0.03102704336832844,178,748,2,928
211,pst.000002047508,0.21981081590779608,0.0234066298365758,160,466,1,627
165,mdp.39015092850679,0.24206456101957285,0.025510854592455,153,410,3,566
106,hvd.hn6nvw,0.9134038638820319,0.9436868689090908,1,222,0,223
